Apoteka,Izlaz,Stanje
29,90.000,146.000
34,18.000,52.000
5,51.000,57.000
31,61.000,204.000
2,72.000,40.000
32,74.000,103.000
38,36.000,121.000
3,34.000,101.000
35,62.000,99.000
6,23.670,54.330
44,51.000,65.000
19,74.666,71.334
23,32.000,100.000
41,138.000,99.000
46,270.000,124.000
43,15.000,158.000
40,72.000,177.000
9,34.000,81.000
22,21.000,103.000
14,40.000,14.000
25,20.000,66.000
1,76.000,41.000
4,57.000,81.340
21,99.000,172.000
24,74.000,97.000
26,32.000,53.000
28,238.000,295.000
30,81.000,285.000
33,19.000,81.000
42,17.000,105.000
36,38.000,242.000
